x y z value
-2 -2 -2 -0.816497
-2 -2 -1.9 -0.830097
-2 -2 -1.8 -0.843649
-2 -2 -1.7 -0.857099
-2 -2 -1.6 -0.870388
-2 -2 -1.5 -0.883452
-2 -2 -1.4 -0.896221
-2 -2 -1.3 -0.908622
-2 -2 -1.2 -0.920575
-2 -2 -1.1 -0.931998
-2 -2 -1 -0.942809
-2 -2 -0.9 -0.952921
-2 -2 -0.8 -0.96225
-2 -2 -0.7 -0.970714
-2 -2 -0.6 -0.978232
-2 -2 -0.5 -0.984732
-2 -2 -0.4 -0.990148
-2 -2 -0.3 -0.994422
-2 -2 -0.2 -0.997509
-2 -2 -0.1 -0.999376
-2 -2 1.77636e-15 1
-2 -2 0.1 0.999376
-2 -2 0.2 0.997509
-2 -2 0.3 0.994422
-2 -2 0.4 0.990148
-2 -2 0.5 0.984732
-2 -2 0.6 0.978232
-2 -2 0.7 0.970714
-2 -2 0.8 0.96225
-2 -2 0.9 0.952921
-2 -2 1 0.942809
-2 -2 1.1 0.931998
-2 -2 1.2 0.920575
-2 -2 1.3 0.908622
-2 -2 1.4 0.896221
-2 -2 1.5 0.883452
-2 -2 1.6 0.870388
-2 -2 1.7 0.857099
-2 -2 1.8 0.843649
-2 -2 1.9 0.830097
-2 -1.9 -2 -0.809611
-2 -1.9 -1.9 -0.823561
-2 -1.9 -1.8 -0.837486
-2 -1.9 -1.7 -0.851329
-2 -1.9 -1.6 -0.865031
-2 -1.9 -1.5 -0.878524
-2 -1.9 -1.4 -0.891736
-2 -1.9 -1.3 -0.904588
-2 -1.9 -1.2 -0.916997
-2 -1.9 -1.1 -0.928877
-2 -1.9 -1 -0.940136
-2 -1.9 -0.9 -0.950684
-2 -1.9 -0.8 -0.960429
-2 -1.9 -0.7 -0.969281
-2 -1.9 -0.6 -0.977154
-2 -1.9 -0.5 -0.983968
-2 -1.9 -0.4 -0.98965
-2 -1.9 -0.3 -0.994139
-2 -1.9 -0.2 -0.997382
-2 -1.9 -0.1 -0.999344
-2 -1.9 1.77636e-15 1
-2 -1.9 0.1 0.999344
-2 -1.9 0.2 0.997382
-2 -1.9 0.3 0.994139
-2 -1.9 0.4 0.98965
-2 -1.9 0.5 0.983968
-2 -1.9 0.6 0.977154
-2 -1.9 0.7 0.969281
-2 -1.9 0.8 0.960429
-2 -1.9 0.9 0.950684
-2 -1.9 1 0.940136
-2 -1.9 1.1 0.928877
-2 -1.9 1.2 0.916997
-2 -1.9 1.3 0.904588
-2 -1.9 1.4 0.891736
-2 -1.9 1.5 0.878524
-2 -1.9 1.6 0.865031
-2 -1.9 1.7 0.851329
-2 -1.9 1.8 0.837486
-2 -1.9 1.9 0.823561
-2 -1.8 -2 -0.802576
-2 -1.8 -1.9 -0.816873
-2 -1.8 -1.8 -0.831168
-2 -1.8 -1.7 -0.845405
-2 -1.8 -1.6 -0.859521
-2 -1.8 -1.5 -0.873446
-2 -1.8 -1.4 -0.887106
-2 -1.8 -1.3 -0.900417
-2 -1.8 -1.2 -0.913292
-2 -1.8 -1.1 -0.925637
-2 -1.8 -1 -0.937358
-2 -1.8 -0.9 -0.948356
-2 -1.8 -0.8 -0.958531
-2 -1.8 -0.7 -0.967786
-2 -1.8 -0.6 -0.976028
-2 -1.8 -0.5 -0.983169
-2 -1.8 -0.4 -0.98913
-2 -1.8 -0.3 -0.993842
-2 -1.8 -0.2 -0.997249
-2 -1.8 -0.1 -0.99931
-2 -1.8 1.77636e-15 1
-2 -1.8 0.1 0.99931
-2 -1.8 0.2 0.997249
-2 -1.8 0.3 0.993842
-2 -1.8 0.4 0.98913
-2 -1.8 0.5 0.983169
-2 -1.8 0.6 0.976028
-2 -1.8 0.7 0.967786
-2 -1.8 0.8 0.958531
-2 -1.8 0.9 0.948356
-2 -1.8 1 0.937358
-2 -1.8 1.1 0.925637
-2 -1.8 1.2 0.913292
-2 -1.8 1.3 0.900417
-2 -1.8 1.4 0.887106
-2 -1.8 1.5 0.873446
-2 -1.8 1.6 0.859521
-2 -1.8 1.7 0.845405
-2 -1.8 1.8 0.831168
-2 -1.8 1.9 0.816873
-2 -1.7 -2 -0.795418
-2 -1.7 -1.9 -0.810056
-2 -1.7 -1.8 -0.824717
-2 -1.7 -1.7 -0.839344
-2 -1.7 -1.6 -0.853874
-2 -1.7 -1.5 -0.868233
-2 -1.7 -1.4 -0.882344
-2 -1.7 -1.3 -0.89612
-2 -1.7 -1.2 -0.909467
-2 -1.7 -1.1 -0.922289
-2 -1.7 -1 -0.934482
-2 -1.7 -0.9 -0.945941
-2 -1.7 -0.8 -0.95656
-2 -1.7 -0.7 -0.966232
-2 -1.7 -0.6 -0.974856
-2 -1.7 -0.5 -0.982337
-2 -1.7 -0.4 -0.988587
-2 -1.7 -0.3 -0.993532
-2 -1.7 -0.2 -0.99711
-2 -1.7 -0.1 -0.999275
-2 -1.7 1.77636e-15 1
-2 -1.7 0.1 0.999275
-2 -1.7 0.2 0.99711
-2 -1.7 0.3 0.993532
-2 -1.7 0.4 0.988587
-2 -1.7 0.5 0.982337
-2 -1.7 0.6 0.974856
-2 -1.7 0.7 0.966232
-2 -1.7 0.8 0.95656
-2 -1.7 0.9 0.945941
-2 -1.7 1 0.934482
-2 -1.7 1.1 0.922289
-2 -1.7 1.2 0.909467
-2 -1.7 1.3 0.89612
-2 -1.7 1.4 0.882344
-2 -1.7 1.5 0.868233
-2 -1.7 1.6 0.853874
-2 -1.7 1.7 0.839344
-2 -1.7 1.8 0.824717
-2 -1.7 1.9 0.810056
-2 -1.6 -2 -0.78817
-2 -1.6 -1.9 -0.80314
-2 -1.6 -1.8 -0.818161
-2 -1.6 -1.7 -0.833175
-2 -1.6 -1.6 -0.848115
-2 -1.6 -1.5 -0.862907
-2 -1.6 -1.4 -0.87747
-2 -1.6 -1.3 -0.891713
-2 -1.6 -1.2 -0.905539
-2 -1.6 -1.1 -0.918843
-2 -1.6 -1 -0.931518
-2 -1.6 -0.9 -0.943448
-2 -1.6 -0.8 -0.954521
-2 -1.6 -0.7 -0.964622
-2 -1.6 -0.6 -0.973641
-2 -1.6 -0.5 -0.981473
-2 -1.6 -0.4 -0.988024
-2 -1.6 -0.3 -0.99321
-2 -1.6 -0.2 -0.996965
-2 -1.6 -0.1 -0.999239
-2 -1.6 1.77636e-15 1
-2 -1.6 0.1 0.999239
-2 -1.6 0.2 0.996965
-2 -1.6 0.3 0.99321
-2 -1.6 0.4 0.988024
-2 -1.6 0.5 0.981473
-2 -1.6 0.6 0.973641
-2 -1.6 0.7 0.964622
-2 -1.6 0.8 0.954521
-2 -1.6 0.9 0.943448
-2 -1.6 1 0.931518
-2 -1.6 1.1 0.918843
-2 -1.6 1.2 0.905539
-2 -1.6 1.3 0.891713
-2 -1.6 1.4 0.87747
-2 -1.6 1.5 0.862907
-2 -1.6 1.6 0.848115
-2 -1.6 1.7 0.833175
-2 -1.6 1.8 0.818161
-2 -1.6 1.9 0.80314
-2 -1.5 -2 -0.780869
-2 -1.5 -1.9 -0.796162
-2 -1.5 -1.8 -0.811534
-2 -1.5 -1.7 -0.826927
-2 -1.5 -1.6 -0.842271
-2 -1.5 -1.5 -0.857493
-2 -1.5 -1.4 -0.872506
-2 -1.5 -1.3 -0.887217
-2 -1.5 -1.2 -0.901523
-2 -1.5 -1.1 -0.915315
-2 -1.5 -1 -0.928477
-2 -1.5 -0.9 -0.940887
-2 -1.5 -0.8 -0.952424
-2 -1.5 -0.7 -0.962964
-2 -1.5 -0.6 -0.972387
-2 -1.5 -0.5 -0.980581
-2 -1.5 -0.4 -0.987441
-2 -1.5 -0.3 -0.992877
-2 -1.5 -0.2 -0.996815
-2 -1.5 -0.1 -0.999201
-2 -1.5 1.77636e-15 1
-2 -1.5 0.1 0.999201
-2 -1.5 0.2 0.996815
-2 -1.5 0.3 0.992877
-2 -1.5 0.4 0.987441
-2 -1.5 0.5 0.980581
-2 -1.5 0.6 0.972387
-2 -1.5 0.7 0.962964
-2 -1.5 0.8 0.952424
-2 -1.5 0.9 0.940887
-2 -1.5 1 0.928477
-2 -1.5 1.1 0.915315
-2 -1.5 1.2 0.901523
-2 -1.5 1.3 0.887217
-2 -1.5 1.4 0.872506
-2 -1.5 1.5 0.857493
-2 -1.5 1.6 0.842271
-2 -1.5 1.7 0.826927
-2 -1.5 1.8 0.811534
-2 -1.5 1.9 0.796162
-2 -1.4 -2 -0.773559
-2 -1.4 -1.9 -0.789164
-2 -1.4 -1.8 -0.804876
-2 -1.4 -1.7 -0.820638
-2 -1.4 -1.6 -0.836379
-2 -1.4 -1.5 -0.852023
-2 -1.4 -1.4 -0.867482
-2 -1.4 -1.3 -0.882658
-2 -1.4 -1.2 -0.897444
